Event date,Event,Ticket ID,Payment date,Ticket price buyer,Original ticket price,Ticket listing price,Revenue,Event ID,Seller user ID,Buyer user ID,Listing created Date,Meets ticket Fairshare conditions? (Yes / No),Refund created Date,Kickback,Fairshare,Ratio,Ticket_Class
2024-05-27,Brilliant Banjo,25640014.0,2024-05-27,108.15,178.0,100.0,8.26,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,185970.0,3853433.0,2024-05-27,False,2024-05-30,0.83,0.83,1.0,AD
2024-05-29,Curious Cactus,23129017.0,2023-12-10,97.33,90.0,90.0,8.21,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,12661990.0,2393419.0,2023-12-10,False,2023-12-11,0.82,0.82,1.0,D
2024-05-31,Daring Dragon,23461792.0,2024-01-06,94.48,72.8,87.36,7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12813638.0,4212178.0,2024-01-06,True,2024-03-26,0.72,5.1,7.083333333333333,B
2024-05-23,Electric Emu,25498125.0,2024-05-23,127.03,155.0,117.45,9.74,62df8913-4e36-4cb0-a971-44b8ccff3d7b,13801367.0,12345015.0,2024-05-21,False,2024-05-23,0.97,0.97,1.0,G
2024-05-08,Fancy Flamingo,25214431.0,2024-05-08,45.42,50.0,42.0,3.48,6914373f-7098-4132-a8de-5af04c8204b7,3432474.0,1301193.0,2024-05-08,False,2024-05-09,0.35,0.35,1.0,AW
2024-05-05,Golden Giraffe,25130323.0,2024-05-05,43.26,54.88,40.0,3.3,e0d78d5c-7086-4d89-87ef-b1388f842f2c,12169945.0,1267772.0,2024-05-03,False,2024-05-06,0.33,0.33,1.0,F
2024-05-31,Daring Dragon,21791141.0,2023-09-20,94.48,72.8,87.36,7.22,5e160574-2903-43c6-bf2b-9091ba693c26,11515234.0,676137.0,2023-09-20,True,,0.72,5.1,7.083333333333333,B
2024-05-05,Golden Giraffe,25083291.0,2024-05-02,75.71,61.6,70.0,5.78,e0d78d5c-7086-4d89-87ef-b1388f842f2c,6637435.0,11054282.0,2024-05-01,True,,0.58,2.45,4.224137931034483,E
2024-05-27,Brilliant Banjo,24898338.0,2024-05-01,180.96,139.44,167.32,13.83,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,295848.0,5196391.0,2024-04-21,True,,1.38,9.76,7.072463768115942,AQ
2024-05-05,Golden Giraffe,24905837.0,2024-04-22,79.95,61.6,73.92,6.12,e0d78d5c-7086-4d89-87ef-b1388f842f2c,2681908.0,793527.0,2024-04-22,True,,0.61,4.31,7.0655737704918025,E
2024-05-29,Curious Cactus,25054537.0,2024-04-29,127.91,98.56,118.27,9.77,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,507677.0,1152227.0,2024-04-29,True,,0.98,6.9,7.040816326530613,B
2024-05-29,Curious Cactus,24735694.0,2024-04-12,84.31,64.96,77.95,6.44,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,13418027.0,7723133.0,2024-04-11,True,,0.64,4.55,7.109375,I
2024-05-05,Golden Giraffe,25053152.0,2024-04-29,75.71,61.6,70.0,5.78,e0d78d5c-7086-4d89-87ef-b1388f842f2c,1797608.0,1939762.0,2024-04-29,True,,0.58,2.45,4.224137931034483,E
2024-05-05,Golden Giraffe,25160143.0,2024-05-05,54.08,61.6,50.0,4.13,e0d78d5c-7086-4d89-87ef-b1388f842f2c,9087679.0,6590680.0,2024-05-05,False,,0.41,0.41,1.0,E
2024-05-31,Daring Dragon,24606927.0,2024-04-02,77.65,72.8,71.8,5.93,5e160574-2903-43c6-bf2b-9091ba693c26,4230069.0,13206029.0,2024-04-02,False,,0.59,0.59,1.0,B
2024-05-05,Golden Giraffe,25046653.0,2024-04-28,79.95,61.6,73.92,6.12,e0d78d5c-7086-4d89-87ef-b1388f842f2c,3438466.0,13466994.0,2024-04-28,True,,0.61,4.31,7.0655737704918025,E
2024-05-31,Daring Dragon,22072745.0,2023-10-09,94.48,72.8,87.36,7.22,5e160574-2903-43c6-bf2b-9091ba693c26,9517901.0,695207.0,2023-10-09,True,,0.72,5.1,7.083333333333333,B
2024-05-29,Curious Cactus,25389032.0,2024-05-17,81.11,87.36,75.0,6.2,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,2404081.0,1480133.0,2024-05-17,False,,0.62,0.62,1.0,E
2024-05-08,Fancy Flamingo,25164188.0,2024-05-06,54.08,72.8,50.0,4.14,6914373f-7098-4132-a8de-5af04c8204b7,9021635.0,3263059.0,2024-05-05,False,,0.41,0.41,1.0,AE
2024-05-31,Daring Dragon,21784399.0,2023-09-20,94.48,72.8,87.36,7.22,5e160574-2903-43c6-bf2b-9091ba693c26,11486294.0,272161.0,2023-09-19,True,,0.72,5.1,7.083333333333333,B
2024-05-24,Hungry Hedgehog,25258526.0,2024-05-10,116.29,89.6,107.52,8.9,a9f8217c-e4ac-45de-a588-36521e661c14,2244516.0,5761646.0,2024-05-10,True,,0.89,6.27,7.044943820224718,BU
2024-05-05,Golden Giraffe,25108393.0,2024-05-02,49.75,61.6,46.0,3.8,e0d78d5c-7086-4d89-87ef-b1388f842f2c,7776555.0,7322007.0,2024-05-02,False,,0.38,0.38,1.0,E
2024-05-08,Fancy Flamingo,25171806.0,2024-05-07,64.89,95.0,60.0,4.96,6914373f-7098-4132-a8de-5af04c8204b7,185970.0,6661644.0,2024-05-06,False,,0.5,0.5,1.0,Q
2024-05-29,Curious Cactus,23836161.0,2024-02-09,112.21,98.56,103.75,8.58,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,1079617.0,2821236.0,2024-02-09,True,,0.86,0.0,0.0,B
2024-05-24,Hungry Hedgehog,25511132.0,2024-05-22,96.9,89.6,89.6,8.18,a9f8217c-e4ac-45de-a588-36521e661c14,13800735.0,6754298.0,2024-05-22,False,,0.82,0.82,1.0,BU
2024-05-31,Daring Dragon,21805107.0,2023-09-21,94.48,72.8,87.36,7.22,5e160574-2903-43c6-bf2b-9091ba693c26,420774.0,4572862.0,2023-09-21,True,,0.72,5.1,7.083333333333333,B
2024-05-05,Golden Giraffe,25123860.0,2024-05-03,64.88,61.6,59.99,4.96,e0d78d5c-7086-4d89-87ef-b1388f842f2c,5249543.0,6568367.0,2024-05-03,False,,0.5,0.5,1.0,E
2024-05-31,Daring Dragon,21909280.0,2023-09-29,79.95,61.6,73.92,6.12,5e160574-2903-43c6-bf2b-9091ba693c26,8396197.0,94811.0,2023-09-29,True,,0.61,4.31,7.0655737704918025,C
2024-05-27,Brilliant Banjo,25537400.0,2024-05-23,108.15,100.0,100.0,8.26,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,526584.0,10147279.0,2024-05-23,False,,0.83,0.83,1.0,BK
2024-05-31,Daring Dragon,23530485.0,2024-01-14,94.48,72.8,87.36,7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12852388.0,4286407.0,2024-01-14,True,2024-01-15,0.72,5.1,7.083333333333333,B
2024-05-24,Hungry Hedgehog,25259286.0,2024-05-10,99.93,77.0,92.4,7.64,a9f8217c-e4ac-45de-a588-36521e661c14,13142172.0,11260114.0,2024-05-10,True,2024-05-13,0.76,5.39,7.092105263157894,CC
2024-05-24,Hungry Hedgehog,25429213.0,2024-05-18,116.29,89.6,107.52,8.89,a9f8217c-e4ac-45de-a588-36521e661c14,13770361.0,11253458.0,2024-05-18,True,2024-05-20,0.89,6.27,7.044943820224718,BU
2024-05-24,Hungry Hedgehog,25429212.0,2024-05-18,116.29,89.6,107.52,8.89,a9f8217c-e4ac-45de-a588-36521e661c14,13770361.0,11253458.0,2024-05-18,True,2024-05-20,0.89,6.27,7.044943820224718,BU
2024-05-25,Jubilant Jellybean,25497408.0,2024-05-21,91.93,85.0,85.0,7.02,2772b208-9bd2-4817-a281-af19555e0ec5,13480554.0,13762471.0,2024-05-21,False,2024-05-22,0.7,0.7,1.0,CL
2024-05-23,Electric Emu,25530718.0,2024-05-23,48.67,95.0,45.0,3.73,62df8913-4e36-4cb0-a971-44b8ccff3d7b,13813951.0,13278159.0,2024-05-23,False,2024-05-23,0.37,0.37,1.0,AH
2024-05-31,Daring Dragon,22612603.0,2023-11-05,94.48,72.8,87.36,7.25,5e160574-2903-43c6-bf2b-9091ba693c26,12251082.0,7980391.0,2023-11-05,True,2023-11-06,0.73,5.1,6.986301369863013,B
2024-05-31,Daring Dragon,23461793.0,2024-01-06,94.48,72.8,87.36,7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12813638.0,4212178.0,2024-01-06,True,2024-03-26,0.72,5.1,7.083333333333333,B
2024-05-23,Electric Emu,25529820.0,2024-05-23,43.26,96.17,40.0,3.31,62df8913-4e36-4cb0-a971-44b8ccff3d7b,8064835.0,6358951.0,2024-05-23,False,2024-05-24,0.33,0.33,1.0,AC
2024-05-31,Daring Dragon,23467971.0,2024-01-06,78.73,72.8,72.8,6.02,5e160574-2903-43c6-bf2b-9091ba693c26,5174799.0,9688747.0,2024-01-06,False,2024-05-02,0.6,0.6,1.0,B
