Event date,Event,Ticket ID,Payment date,Ticket price buyer,Original ticket price,Ticket listing price,Revenue,Event ID,Seller user ID,Buyer user ID,Listing created Date,Meets ticket Fairshare conditions? (Yes / No),Refund created Date,Kickback,Fairshare
2024-05-27,Brilliant Banjo,25640014,2024-05-27,€108.15,€178.00,€100.00,€8.26,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,185970,3853433,2024-05-27,No,2024-05-30,€0.83,€0.83
2024-05-29,Curious Cactus,23129017,2023-12-10,€97.33,€90.00,€90.00,€8.21,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,12661990,2393419,2023-12-10,No,2023-12-11,€0.82,€0.82
2024-05-31,Daring Dragon,23461792,2024-01-06,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12813638,4212178,2024-01-06,Yes,2024-03-26,€0.72,€5.10
2024-05-23,Electric Emu,25498125,2024-05-23,€127.03,€155.00,€117.45,€9.74,62df8913-4e36-4cb0-a971-44b8ccff3d7b,13801367,12345015,2024-05-21,No,2024-05-23,€0.97,€0.97
2024-05-08,Fancy Flamingo,25214431,2024-05-08,€45.42,€50.00,€42.00,€3.48,6914373f-7098-4132-a8de-5af04c8204b7,3432474,1301193,2024-05-08,No,2024-05-09,€0.35,€0.35
2024-05-05,Golden Giraffe,25130323,2024-05-05,€43.26,€54.88,€40.00,€3.30,e0d78d5c-7086-4d89-87ef-b1388f842f2c,12169945,1267772,2024-05-03,No,2024-05-06,€0.33,€0.33
2024-05-31,Daring Dragon,21791141,2023-09-20,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,11515234,676137,2023-09-20,Yes,,€0.72,€5.10
2024-05-05,Golden Giraffe,25083291,2024-05-02,€75.71,€61.60,€70.00,€5.78,e0d78d5c-7086-4d89-87ef-b1388f842f2c,6637435,11054282,2024-05-01,Yes,,€0.58,€2.45
2024-05-27,Brilliant Banjo,24898338,2024-05-01,€180.96,€139.44,€167.32,€13.83,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,295848,5196391,2024-04-21,Yes,,€1.38,€9.76
2024-05-05,Golden Giraffe,24905837,2024-04-22,€79.95,€61.60,€73.92,€6.12,e0d78d5c-7086-4d89-87ef-b1388f842f2c,2681908,793527,2024-04-22,Yes,,€0.61,€4.31
2024-05-29,Curious Cactus,25054537,2024-04-29,€127.91,€98.56,€118.27,€9.77,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,507677,1152227,2024-04-29,Yes,,€0.98,€6.90
2024-05-29,Curious Cactus,24735694,2024-04-12,€84.31,€64.96,€77.95,€6.44,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,13418027,7723133,2024-04-11,Yes,,€0.64,€4.55
2024-05-05,Golden Giraffe,25053152,2024-04-29,€75.71,€61.60,€70.00,€5.78,e0d78d5c-7086-4d89-87ef-b1388f842f2c,1797608,1939762,2024-04-29,Yes,,€0.58,€2.45
2024-05-05,Golden Giraffe,25160143,2024-05-05,€54.08,€61.60,€50.00,€4.13,e0d78d5c-7086-4d89-87ef-b1388f842f2c,9087679,6590680,2024-05-05,No,,€0.41,€0.41
2024-05-31,Daring Dragon,24606927,2024-04-02,€77.65,€72.80,€71.80,€5.93,5e160574-2903-43c6-bf2b-9091ba693c26,4230069,13206029,2024-04-02,No,,€0.59,€0.59
2024-05-05,Golden Giraffe,25046653,2024-04-28,€79.95,€61.60,€73.92,€6.12,e0d78d5c-7086-4d89-87ef-b1388f842f2c,3438466,13466994,2024-04-28,Yes,,€0.61,€4.31
2024-05-31,Daring Dragon,22072745,2023-10-09,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,9517901,695207,2023-10-09,Yes,,€0.72,€5.10
2024-05-29,Curious Cactus,25389032,2024-05-17,€81.11,€87.36,€75.00,€6.20,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,2404081,1480133,2024-05-17,No,,€0.62,€0.62
2024-05-08,Fancy Flamingo,25164188,2024-05-06,€54.08,€72.80,€50.00,€4.14,6914373f-7098-4132-a8de-5af04c8204b7,9021635,3263059,2024-05-05,No,,€0.41,€0.41
2024-05-31,Daring Dragon,21784399,2023-09-20,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,11486294,272161,2023-09-19,Yes,,€0.72,€5.10
2024-05-24,Hungry Hedgehog,25258526,2024-05-10,€116.29,€89.60,€107.52,€8.90,a9f8217c-e4ac-45de-a588-36521e661c14,2244516,5761646,2024-05-10,Yes,,€0.89,€6.27
2024-05-05,Golden Giraffe,25108393,2024-05-02,€49.75,€61.60,€46.00,€3.80,e0d78d5c-7086-4d89-87ef-b1388f842f2c,7776555,7322007,2024-05-02,No,,€0.38,€0.38
2024-05-08,Fancy Flamingo,25171806,2024-05-07,€64.89,€95.00,€60.00,€4.96,6914373f-7098-4132-a8de-5af04c8204b7,185970,6661644,2024-05-06,No,,€0.50,€0.50
2024-05-29,Curious Cactus,23836161,2024-02-09,€112.21,€98.56,€103.75,€8.58,02f73fd4-3c71-4a8d-b3b7-8ff17bdcd53d,1079617,2821236,2024-02-09,Yes,,€0.86,€0.00
2024-05-24,Hungry Hedgehog,25511132,2024-05-22,€96.90,€89.60,€89.60,€8.18,a9f8217c-e4ac-45de-a588-36521e661c14,13800735,6754298,2024-05-22,No,,€0.82,€0.82
2024-05-31,Daring Dragon,21805107,2023-09-21,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,420774,4572862,2023-09-21,Yes,,€0.72,€5.10
2024-05-05,Golden Giraffe,25123860,2024-05-03,€64.88,€61.60,€59.99,€4.96,e0d78d5c-7086-4d89-87ef-b1388f842f2c,5249543,6568367,2024-05-03,No,,€0.50,€0.50
2024-05-31,Daring Dragon,21909280,2023-09-29,€79.95,€61.60,€73.92,€6.12,5e160574-2903-43c6-bf2b-9091ba693c26,8396197,94811,2023-09-29,Yes,,€0.61,€4.31
2024-05-27,Brilliant Banjo,25537400,2024-05-23,€108.15,€100.00,€100.00,€8.26,2e2f977d-cc5d-4723-8b3c-2d7d5d35c749,526584,10147279,2024-05-23,No,,€0.83,€0.83
2024-05-31,Daring Dragon,23530485,2024-01-14,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12852388,4286407,2024-01-14,Yes,2024-01-15,€0.72,€5.10
2024-05-24,Hungry Hedgehog,25259286,2024-05-10,€99.93,€77.00,€92.40,€7.64,a9f8217c-e4ac-45de-a588-36521e661c14,13142172,11260114,2024-05-10,Yes,2024-05-13,€0.76,€5.39
2024-05-24,Hungry Hedgehog,25429213,2024-05-18,€116.29,€89.60,€107.52,€8.89,a9f8217c-e4ac-45de-a588-36521e661c14,13770361,11253458,2024-05-18,Yes,2024-05-20,€0.89,€6.27
2024-05-24,Hungry Hedgehog,25429212,2024-05-18,€116.29,€89.60,€107.52,€8.89,a9f8217c-e4ac-45de-a588-36521e661c14,13770361,11253458,2024-05-18,Yes,2024-05-20,€0.89,€6.27
2024-05-25,Jubilant Jellybean,25497408,2024-05-21,€91.93,€85.00,€85.00,€7.02,2772b208-9bd2-4817-a281-af19555e0ec5,13480554,13762471,2024-05-21,No,2024-05-22,€0.70,€0.70
2024-05-23,Electric Emu,25530718,2024-05-23,€48.67,€95.00,€45.00,€3.73,62df8913-4e36-4cb0-a971-44b8ccff3d7b,13813951,13278159,2024-05-23,No,2024-05-23,€0.37,€0.37
2024-05-31,Daring Dragon,22612603,2023-11-05,€94.48,€72.80,€87.36,€7.25,5e160574-2903-43c6-bf2b-9091ba693c26,12251082,7980391,2023-11-05,Yes,2023-11-06,€0.73,€5.10
2024-05-31,Daring Dragon,23461793,2024-01-06,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12813638,4212178,2024-01-06,Yes,2024-03-26,€0.72,€5.10
2024-05-23,Electric Emu,25529820,2024-05-23,€43.26,€96.17,€40.00,€3.31,62df8913-4e36-4cb0-a971-44b8ccff3d7b,8064835,6358951,2024-05-23,No,2024-05-24,€0.33,€0.33
2024-05-31,Daring Dragon,23467971,2024-01-06,€78.73,€72.80,€72.80,€6.02,5e160574-2903-43c6-bf2b-9091ba693c26,5174799,9688747,2024-01-06,No,2024-05-02,€0.60,€0.60
2024-05-24,Hungry Hedgehog,25384315,2024-05-17,€152.49,€129.00,€141.00,€11.65,a9f8217c-e4ac-45de-a588-36521e661c14,10622935,13048411,2024-05-16,Yes,2024-05-17,€1.17,€2.47
2024-05-25,Jubilant Jellybean,25589774,2024-05-25,€116.29,€89.99,€107.52,€8.86,2772b208-9bd2-4817-a281-af19555e0ec5,13841687,10200828,2024-05-25,Yes,2024-05-29,€0.89,€6.08
2024-05-31,Daring Dragon,23530483,2024-01-14,€94.48,€72.80,€87.36,€7.22,5e160574-2903-43c6-bf2b-9091ba693c26,12852388,3969450,2024-01-14,Yes,2024-01-15,€0.72,€5.10
2024-05-24,Hungry Hedgehog,25516491,2024-05-22,€116.29,€89.60,€107.52,€8.89,a9f8217c-e4ac-45de-a588-36521e661c14,7442873,688485,2024-05-22,Yes,2024-05-22,€0.89,€6.27
2024-05-25,Jubilant Jellybean,25304723,2024-05-13,€116.29,€100.31,€107.52,€8.90,2772b208-9bd2-4817-a281-af19555e0ec5,5374091,8595755,2024-05-13,Yes,,€0.89,€0.92
2024-05-05,Golden Giraffe,25153889,2024-05-05,€54.08,€61.60,€50.00,€4.14,e0d78d5c-7086-4d89-87ef-b1388f842f2c,3506397,6701133,2024-05-05,No,,€0.41,€0.41
2024-05-31,Daring Dragon,22928485,2023-11-27,€79.95,€61.60,€73.92,€6.12,5e160574-2903-43c6-bf2b-9091ba693c26,11212260,797386,2023-11-27,Yes,,€0.61,€4.31
2024-05-23,Electric Emu,25488800,2024-05-22,€32.45,€72.80,€30.00,€2.48,62df8913-4e36-4cb0-a971-44b8ccff3d7b,12821794,13808308,2024-05-21,No,,€0.25,€0.25
2024-05-31,Daring Dragon,24650480,2024-05-12,€59.48,€72.80,€55.00,€4.55,5e160574-2903-43c6-bf2b-9091ba693c26,185970,2124171,2024-04-05,No,,€0.45,€0.45
2024-05-08,Fancy Flamingo,25204118,2024-05-08,€43.26,€72.00,€40.00,€3.30,6914373f-7098-4132-a8de-5af04c8204b7,6611562,2667042,2024-05-08,No,,€0.33,€0.33
2024-05-31,Daring Dragon,22054613,2023-11-03,€64.89,€72.80,€60.00,€4.96,5e160574-2903-43c6-bf2b-9091ba693c26,556314,8533377,2023-10-08,No,,€0.50,€0.50
2024-05-23,Electric Emu,25482981,2024-05-21,€108.15,€105.00,€100.00,€8.26,62df8913-4e36-4cb0-a971-44b8ccff3d7b,2115047,13801129,2024-05-21,No,,€0.83,€0.83
2024-05-24,Hungry Hedgehog,25533415,2024-05-23,€116.29,€119.00,€107.52,€8.89,a9f8217c-e4ac-45de-a588-36521e661c14,12398825,13817577,2024-05-23,No,,€0.89,€0.89
2024-05-05,Golden Giraffe,24968805,2024-04-25,€79.95,€61.60,€73.92,€6.12,e0d78d5c-7086-4d89-87ef-b1388f842f2c,2491810,2551545,2024-04-25,Yes,,€0.61,€4.31
2024-05-08,Fancy Flamingo,25175603,2024-05-06,€57.32,€72.80,€53.00,€4.38,6914373f-7098-4132-a8de-5af04c8204b7,7364072,5871066,2024-05-06,No,,€0.44,€0.44
